Model,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.662625050020008,0.799977683579324,0.6674060589659829,0.662625050020008,0.6619913119826681,0.4442714213662723
Decision Tree,0.7408563425370148,0.7766332873580631,0.7407762397442659,0.7408563425370148,0.740814587212001,0.5688172646471251
kNN,0.7581032412965186,0.8731340061423888,0.7600534303750902,0.7581032412965186,0.7588133078834741,0.6016217683966004
Naive Bayes,0.6458183273309324,0.7493218551893396,0.7055238559105657,0.6458183273309324,0.6505144335881824,0.48437594525382555
Random Forest (Ensemble),0.8129651860744298,0.91004259847767,0.8135212979960484,0.8129651860744298,0.8129578589807193,0.6910805672648381
XGBoost (Ensemble),0.772468987595038,0.8811375107494492,0.7736178401745368,0.772468987595038,0.7728853702146138,0.6234481444511003
